Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert.Rate,Med.Age,UrbanPop%,WorldShare,Continent,latitude,longitude,latitude_1,longitude_1
Kyrgyzstan,6542426,1.69%,108345,34,191800,-4000,3,26,36%,0.08%,Asia,41.20438,74.766098,41.2,74.8
El Salvador,6491923,0.51%,32652,313,20720,-40539,2.1,28,73%,0.08%,North America,13.794185,-88.89653,13.8,-88.9
Turkmenistan,6046292,1.50%,89111,13,469930,-5000,2.8,27,53%,0.08%,Asia,38.969719,59.556278,39,59.6
Singapore,5858322,0.79%,46005,8358,700,27028,1.2,42,N.A.,0.08%,Asia,1.352083,103.819836,1.4,103.8
Denmark,5795780,0.35%,20326,137,42430,15200,1.8,42,88%,0.07%,Europe,56.26392,9.501785,56.3,9.5
Finland,5542237,0.15%,8564,18,303890,14000,1.5,43,86%,0.07%,Europe,61.92411,25.748151,61.9,25.7
Republic of the Congo,5540555,2.56%,137579,16,341500,-4000,4.5,19,70%,0.07%,Africa,-0.228021,15.827659,-0.2,15.8
Slovakia,5460109,0.05%,2629,114,48088,1485,1.5,41,54%,0.07%,Europe,48.669026,19.699024,48.7,19.7
Norway,5428594,0.79%,42384,15,365268,28000,1.7,40,83%,0.07%,Europe,60.472024,8.468946,60.5,8.5
Oman,5128058,2.65%,131640,16,309500,87400,2.9,31,87%,0.07%,Asia,21.512583,55.923255,21.5,55.9
State of Palestine,5121112,2.41%,119994,847,6020,-10563,3.7,21,80%,0.07%,Asia,31.952162,35.233154,32,35.2
Costa Rica,5102158,0.92%,46557,100,51060,4200,1.8,33,80%,0.07%,North America,9.748917,-83.753428,9.7,-83.8
Liberia,5077411,2.44%,120307,53,96320,-5000,4.4,19,53%,0.06%,Africa,6.428055,-9.429499,6.4,-9.4
Ireland,4947267,1.13%,55291,72,68890,23604,1.8,38,63%,0.06%,Europe,53.41291,-8.24389,53.4,-8.2
Central African Republic,4843954,1.78%,84582,8,622980,-40000,4.8,18,43%,0.06%,Africa,6.611111,20.939444,6.6,20.9
New Zealand,4829021,0.82%,39170,18,263310,14881,1.9,38,87%,0.06%,Oceania,-40.900557,174.885971,-40.9,174.9
Mauritania,4669775,2.74%,123962,5,1030700,5000,4.6,20,57%,0.06%,Africa,21.00789,-10.940835,21,-10.9
Panama,4326296,1.61%,68328,58,74340,11200,2.5,30,68%,0.06%,North America,8.537981,-80.782127,8.5,-80.8
Kuwait,4281320,1.51%,63488,240,17820,39520,2.1,37,N.A.,0.05%,Asia,29.31166,47.481766,29.3,47.5
Croatia,4100719,-0.61%,-25037,73,55960,-8001,1.4,44,58%,0.05%,Europe,45.1,15.2,45.1,15.2
Moldova,4032294,-0.23%,-9300,123,32850,-1387,1.3,38,43%,0.05%,Europe,47.411631,28.369885,47.4,28.4
Georgia,3987805,-0.19%,-7598,57,69490,-10000,2.1,38,58%,0.05%,Asia,42.315407,43.356892,42.3,43.4
Eritrea,3554797,1.41%,49304,35,101000,-39858,4.1,19,63%,0.05%,Africa,15.179384,39.782334,15.2,39.8
Uruguay,3475842,0.35%,11996,20,175020,-3000,2,36,96%,0.04%,South America,-32.522779,-55.765835,-32.5,-55.8
Bosnia and Herzegovina,3277152,-0.61%,-20181,64,51000,-21585,1.3,43,52%,0.04%,Europe,43.915886,17.679076,43.9,17.7
Mongolia,3287242,1.65%,53123,2,1553560,-852,2.9,28,67%,0.04%,Asia,46.862496,103.846656,46.9,103.8
Armenia,2964219,0.19%,5512,104,28470,-4998,1.8,35,63%,0.04%,Asia,40.069099,45.038189,40.1,45
Jamaica,2963429,0.44%,12888,273,10830,-11332,2,31,55%,0.04%,North America,18.109581,-77.297508,18.1,-77.3
Qatar,2889284,1.73%,48986,248,11610,40000,1.9,32,96%,0.04%,Asia,25.354826,51.183884,25.4,51.2
Albania,2877239,-0.11%,-3120,105,27400,-14000,1.6,36,63%,0.04%,Europe,41.153332,20.168331,41.2,20.2
Puerto Rico,2846860,-2.47%,-72555,323,8870,-97986,1.2,44,N.A.,0.04%,North America,18.220833,-66.590149,18.2,-66.6
Lithuania,2715340,-1.35%,-37338,43,62674,-32780,1.7,45,71%,0.03%,Europe,55.169438,23.881275,55.2,23.9
Namibia,2548663,1.86%,46375,3,823290,-4806,3.4,22,55%,0.03%,Africa,-22.95764,18.49041,-23,18.5
Gambia,2427782,2.94%,68962,239,10120,-3087,5.3,18,59%,0.03%,Africa,13.443182,-15.310139,13.4,-15.3
Botswana,2359585,2.08%,47930,4,566730,3000,2.9,24,73%,0.03%,Africa,-22.328474,24.684866,-22.3,24.7
Gabon,2234448,2.45%,53155,9,257670,3260,4,23,87%,0.03%,Africa,-0.803689,11.609444,-0.8,11.6
Lesotho,2145194,0.80%,16981,71,30360,-10047,3.2,24,31%,0.03%,Africa,-29.609988,28.233608,-29.6,28.2
North Macedonia,2083359,0.00%,-85,83,25220,-1000,1.5,39,59%,0.03%,Europe,41.608635,21.745275,41.6,21.7
Slovenia,2078989,0.01%,284,103,20140,2000,1.6,45,55%,0.03%,Europe,46.151241,14.995463,46.2,15
Guinea-Bissau,1975718,2.45%,47079,70,28120,-1399,4.5,19,45%,0.03%,Africa,11.803749,-15.180413,11.8,-15.2
Latvia,1882408,-1.08%,-20545,30,62200,-14837,1.7,44,69%,0.02%,Europe,56.879635,24.603189,56.9,24.6
Bahrain,1711057,3.68%,60403,2239,760,47800,2,32,89%,0.02%,Asia,25.930414,50.637772,25.9,50.6
Equatorial Guinea,1410419,3.47%,46999,50,28050,16000,4.6,22,73%,0.02%,Africa,1.650801,10.267895,1.7,10.3
Trinidad and Tobago,1400283,0.32%,4515,273,5130,-800,1.7,36,52%,0.02%,North America,10.691803,-61.222503,10.7,-61.2
Estonia,1326693,0.07%,887,31,42390,3911,1.6,42,68%,0.02%,Europe,58.595272,25.013607,58.6,25
Timor-Leste,1322667,1.96%,25326,89,14870,-5385,4.1,21,33%,0.02%,Asia,-8.874217,125.727539,-8.9,125.7
Mauritius,1272140,0.17%,2100,626,2030,0,1.4,37,41%,0.02%,Africa,-20.348404,57.552152,-20.3,57.6
Cyprus,1208886,0.73%,8784,131,9240,5000,1.3,37,67%,0.02%,Asia,35.126413,33.429859,35.1,33.4
Eswatini,1162233,1.05%,12034,67,17200,-8353,3,21,30%,0.01%,Africa,-26.522503,31.465866,-26.5,31.5
Djibouti,990447,1.48%,14440,43,23180,900,2.8,27,79%,0.01%,Africa,11.825138,42.590275,11.8,42.6
Fiji,897573,0.73%,6492,49,18270,-6202,2.8,28,59%,0.01%,Oceania,-16.578193,179.414413,-16.6,179.4
R̩union,896422,0.72%,6385,358,2500,-1256,2.3,36,100%,0.01%,Africa,-21.115141,55.536384,-21.1,55.5
Comoros,872695,2.20%,18715,467,1861,-2000,4.2,20,29%,0.01%,Africa,-11.875001,43.872219,-11.9,43.9
Guyana,787215,0.48%,3786,4,196850,-6000,2.5,27,27%,0.01%,South America,4.860416,-58.93018,4.9,-58.9
Bhutan,773069,1.12%,8516,20,38117,320,2,28,46%,0.01%,Asia,27.514162,90.433601,27.5,90.4
Solomon Islands,689671,2.55%,17061,25,27990,-1600,4.4,20,23%,0.01%,Oceania,-9.64571,160.156194,-9.6,160.2
Montenegro,628080,0.01%,79,47,13450,-480,1.8,39,68%,0.01%,Europe,42.708678,19.37439,42.7,19.4
Luxembourg,627704,1.66%,10249,242,2590,9741,1.5,40,88%,0.01%,Europe,49.815273,6.129583,49.8,6.1
Western Sahara,599769,2.55%,14876,2,266000,5582,2.4,28,87%,0.01%,Africa,24.215527,-12.885834,24.2,-12.9
Suriname,587541,0.90%,5260,4,156000,-1000,2.4,29,65%,0.01%,South America,3.919305,-56.027783,3.9,-56
Cabo Verde,557026,1.10%,6052,138,4030,-1342,2.3,28,68%,0.01%,Africa,16.002082,-24.013197,16,-24
Maldives,542151,1.81%,9591,1802,300,11370,1.9,30,35%,0.01%,Asia,3.202778,73.22068,3.2,73.2
Malta,441750,0.27%,1171,1380,320,900,1.5,43,93%,0.01%,Europe,35.937496,14.375416,35.9,14.4
Brunei,438202,0.97%,4194,83,5270,0,1.8,32,80%,0.01%,Asia,4.535277,114.727669,4.5,114.7
Guadeloupe,400136,0.02%,68,237,1690,-1440,2.2,44,N.A.,0.01%,North America,16.995971,-62.067641,17,-62.1
Belize,398845,1.86%,7275,17,22810,1200,2.3,25,46%,0.01%,North America,17.189877,-88.49765,17.2,-88.5
Bahamas,393893,0.97%,3762,39,10010,1000,1.8,32,86%,0.01%,North America,25.03428,-77.39628,25,-77.4
Martinique,375213,-0.08%,-289,354,1060,-960,1.9,47,92%,0.00%,North America,14.641528,-61.024174,14.6,-61
Iceland,341628,0.65%,2212,3,100250,380,1.8,37,94%,0.00%,Europe,64.963051,-19.020835,65,-19
Vanuatu,308337,2.42%,7263,25,12190,120,3.8,21,24%,0.00%,Oceania,-15.376706,166.959158,-15.4,167
French Guiana,299958,2.70%,7850,4,82200,1200,3.4,25,87%,0.00%,South America,3.933889,-53.125782,3.9,-53.1
Barbados,287437,0.12%,350,668,430,-79,1.6,40,31%,0.00%,North America,13.193887,-59.543198,13.2,-59.5
New Caledonia,285972,0.97%,2748,16,18280,502,2,34,72%,0.00%,Oceania,-20.904305,165.618042,-20.9,165.6
French Polynesia,281191,0.58%,1621,77,3660,-1000,2,34,64%,0.00%,Oceania,-17.679742,-149.406843,-17.7,-149.4
Mayotte,273905,2.50%,6665,728,375,0,3.7,20,46%,0.00%,Africa,-12.8275,45.166244,-12.8,45.2
Samoa,198643,0.67%,1317,70,2830,-2803,3.9,22,18%,0.00%,Oceania,-13.759029,-172.104629,-13.8,-172.1
Saint Lucia,183774,0.46%,837,301,610,0,1.4,34,19%,0.00%,North America,13.909444,-60.978893,13.9,-61
Guam,169031,0.89%,1481,313,540,-506,2.3,31,95%,0.00%,Oceania,13.444304,144.793731,13.4,144.8
Kiribati,119760,1.57%,1843,147,810,-800,3.6,23,57%,0.00%,Oceania,-3.370417,-168.734039,-3.4,-168.7
Micronesia,115231,1.06%,1208,164,700,-600,3.1,24,21%,0.00%,Oceania,7.425554,150.550812,7.4,150.6
Grenada,112614,0.46%,520,331,340,-200,2.1,32,35%,0.00%,North America,12.262776,-61.604171,12.3,-61.6
St. Vincent & Grenadines,111002,0.32%,351,284,390,-200,1.9,33,53%,0.00%,North America,12.984305,-61.287228,13,-61.3
Aruba,106845,0.43%,452,593,180,201,1.9,41,44%,0.00%,North America,12.52111,-69.968338,12.5,-70
Tonga,105901,1.15%,1201,147,720,-800,3.6,22,24%,0.00%,Oceania,-21.178986,-175.198242,-21.2,-175.2
U.S. Virgin Islands,104398,-0.15%,-153,298,350,-451,2,43,96%,0.00%,North America,18.335765,-64.896335,18.3,-64.9
Seychelles,98453,0.62%,608,214,460,-200,2.5,34,56%,0.00%,Africa,-4.679574,55.491977,-4.7,55.5
Antigua and Barbuda,98069,0.84%,811,223,440,0,2,34,26%,0.00%,North America,17.060816,-61.796428,17.1,-61.8
Isle of Man,85112,0.53%,449,149,570,,N.A.,N.A.,53%,0.00%,Europe,54.236107,-4.548056,54.2,-4.5
Andorra,77287,0.16%,123,164,470,,N.A.,N.A.,88%,0.00%,Europe,42.546245,1.601554,42.5,1.6
Dominica,72017,0.25%,178,96,750,,N.A.,N.A.,74%,0.00%,North America,15.414999,-61.370976,15.4,-61.4
Cayman Islands,65854,1.19%,774,274,240,,N.A.,N.A.,97%,0.00%,North America,19.513469,-80.566956,19.5,-80.6
Bermuda,62237,-0.36%,-228,1246,50,,N.A.,N.A.,97%,0.00%,North America,32.321384,-64.75737,32.3,-64.8
Marshall Islands,59259,0.68%,399,329,180,,N.A.,N.A.,70%,0.00%,Oceania,7.131474,171.184478,7.1,171.2
Northern Mariana Islands,57619,0.60%,343,125,460,,N.A.,N.A.,88%,0.00%,Oceania,17.33083,145.38469,17.3,145.4
Greenland,56787,0.17%,98,0,410450,,N.A.,N.A.,87%,0.00%,North America,71.706936,-42.604303,71.7,-42.6
American Samoa,55169,-0.22%,-121,276,200,,N.A.,N.A.,88%,0.00%,Oceania,-14.270972,-170.132217,-14.3,-170.1
Saint Kitts & Nevis,53264,0.71%,376,205,260,,N.A.,N.A.,33%,0.00%,North America,17.357822,-62.782998,17.4,-62.8
Monaco,39290,0.71%,278,26337,1,,N.A.,N.A.,N.A.,0.00%,Europe,43.750298,7.412841,43.8,7.4
Turks and Caicos,38806,1.38%,526,41,950,,N.A.,N.A.,89%,0.00%,North America,21.694025,-71.797928,21.7,-71.8
Liechtenstein,38147,0.29%,109,238,160,,N.A.,N.A.,15%,0.00%,Europe,47.166,9.555373,47.2,9.6
San Marino,33944,0.21%,71,566,60,,N.A.,N.A.,97%,0.00%,Europe,43.94236,12.457777,43.9,12.5
Gibraltar,33689,-0.03%,-10,3369,10,,N.A.,N.A.,N.A.,0.00%,Europe,36.137741,-5.345374,36.1,-5.3
British Virgin Islands,30266,0.67%,201,202,150,,N.A.,N.A.,52%,0.00%,North America,18.420695,-64.639968,18.4,-64.6
Palau,18109,0.48%,86,39,460,,N.A.,N.A.,N.A.,0.00%,Oceania,7.51498,134.58252,7.5,134.6
Cook Islands,17567,0.09%,16,73,240,,N.A.,N.A.,75%,0.00%,Oceania,-21.236736,-159.777671,-21.2,-159.8
Anguilla,15026,0.90%,134,167,90,,N.A.,N.A.,N.A.,0.00%,North America,18.220554,-63.068615,18.2,-63.1
Tuvalu,11817,1.25%,146,393,30,,N.A.,N.A.,62%,0.00%,Oceania,-7.109535,177.64933,-7.1,177.6
Wallis & Futuna,11203,-1.69%,-193,80,140,,N.A.,N.A.,0%,0.00%,Oceania,-13.768752,-177.156097,-13.8,-177.2
Nauru,10836,0.63%,68,541,20,,N.A.,N.A.,N.A.,0.00%,Oceania,-0.522778,166.931503,-0.5,166.9
Saint Helena,6080,0.30%,18,16,390,,N.A.,N.A.,27%,0.00%,Africa,-24.143474,-10.030696,-24.1,-10
Saint Pierre & Miquelon,5789,-0.48%,-28,25,230,,N.A.,N.A.,100%,0.00%,North America,46.941936,-56.27111,46.9,-56.3
Montserrat,4993,0.06%,3,50,100,,N.A.,N.A.,10%,0.00%,North America,16.742498,-62.187366,16.7,-62.2
Falkland Islands,3497,3.05%,103,0,12170,,N.A.,N.A.,66%,0.00%,South America,-51.796253,-59.523613,-51.8,-59.5
Niue,1628,0.68%,11,6,260,,N.A.,N.A.,46%,0.00%,Oceania,-19.054445,-169.867233,-19.1,-169.9
Tokelau,1360,1.27%,17,136,10,,N.A.,N.A.,0%,0.00%,Oceania,-8.967363,-171.855881,-9,-171.9
